codgeo,x,y,libgeo
01001,848609.857,6563379.38,L'Abergement-Clémenciat
01002,887846.537,6548351.261,L'Abergement-de-Varey
01004,883699.266,6542879.891,Ambérieu-en-Bugey
01005,847981.153,6545819.297,Ambérieux-en-Dombes
01006,901700.001,6520010.041,Ambléon
01007,882407.016,6547833.676,Ambronay
01008,880705.038,6540118.531,Ambutrix
01009,906438.871,6524341.623,Andert-et-Condon
01010,916610.54,6538187.29,Anglefort
01011,904894.045,6570795.887,Apremont
01012,894267.344,6547708.176,Aranc
01013,893693.351,6535355.491,Arandas
01014,907128.098,6579492.963,Arbent
01015,905482.996,6516006.233,Arboys en Bugey
01016,850365.11,6599368.285,Arbigny
01017,892348.613,6540144.459,Argis
01019,900362.227,6531647.384,Armix
01021,841007.122,6545383.068,Ars-sur-Formans
01022,908641.728,6533593.148,Artemare
01023,844736.528,6588997.945,Asnières-sur-Saône
01024,867785.631,6578512.32,Attignat
01025,851328.243,6582709.946,Bâgé-Dommartin
01026,848495.542,6580507.403,Bâgé-le-Châtel
01027,863631.611,6527915.935,Balan
01028,846871.635,6558909.312,Baneins
01029,873582.786,6594574.314,Beaupont
01030,835934.416,6546085.86,Beauregard
01031,903057.141,6574342.246,Bellignat
01032,866060.092,6531105.081,Béligneux
01033,915871.091,6562074.548,Valserhône
01034,908602.872,6520238.352,Belley
01035,914490.002,6576392.261,Belleydoux
01036,905870.904,6538854.987,Valromey-sur-Séran
01037,892710.236,6529513.119,Bénonces
01038,875627.812,6582488.869,Bény
01039,913532.603,6532286.2,Béon
01040,856823.955,6587305.514,Béréziat
01041,883352.187,6540213.325,Bettant
01042,842292.482,6570530.989,Bey
01043,855021.346,6528574.527,Beynost
01044,913699.054,6557020.058,Billiat
01045,857762.691,6541296.024,Birieux
01046,849588.929,6571443.504,Biziat
01047,874727.991,6529973.398,Blyes
01049,857399.379,6529236.536,La Boisse
01050,853701.832,6587870.855,Boissey
01051,890462.553,6569282.21,Bolozon
01052,854134.629,6548981.149,Bouligneux
01053,873116.799,6569662.801,Bourg-en-Bresse
01054,866180.696,6534113.075,Bourg-Saint-Christophe
01056,890459.296,6551447.186,Boyeux-Saint-Jérôme
01057,846972.901,6591291.479,Boz
01058,903822.592,6508030.362,Brégnier-Cordon
01060,902009.726,6556235.657,Brénod
01061,909199.414,6516277.837,Brens
01062,863003.752,6532171.36,Bressolles
01063,896456.826,6566381.143,Brion
01064,893139.446,6522024.437,Briord
01065,865348.009,6570145.97,Buellas
