codgeo,libgeo,x,y
1,Guadeloupe,134370.615,6084029.865
2,Martinique,268043.556,6083005.151
3,Guyane,382787.654,6079538.148
4,La Réunion,502973.194,6081693.787
6,Mayotte,588649.285,6081297.03
11,Île-de-France,663542.376,6845568.124
24,Centre-Val de Loire,600992.878,6709764.497
27,Bourgogne-Franche-Comté,836857.828,6683232.172
28,Normandie,488844.455,6895153.289
32,Hauts-de-France,683842.241,6985371.005
44,Grand Est,892744.611,6846478.996
52,Pays de la Loire,412018.735,6715257.678
53,Bretagne,266433.531,6802701.498
75,Nouvelle-Aquitaine,479922.084,6458535.774
76,Occitanie,630396.13,6289579.636
84,Auvergne-Rhône-Alpes,820092.083,6491867.372
93,Provence-Alpes-Côte d'Azur,945375.712,6322336.425
94,Corse,1205098.376,6136117.724
